channel_id,channel_title,channel_uploads_id,channel_thumbnail,channel_facebook,channel_googleplus,channel_instagram,channel_snapchat,channel_soundcloud,channel_twitter,channel_website
UC-Qzdx2YISLNU6gEJ27YRiQ,Siddharth Slathia,UU-Qzdx2YISLNU6gEJ27YRiQ,https://yt3.ggpht.com/-fKxSPwYtYjk/AAAAAAAAAAI/AAAAAAAAAAA/tlcXA1Pq3BY/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCp8v5KixDUzI8z8crVCXj-g,Jonita Music,UUp8v5KixDUzI8z8crVCXj-g,https://yt3.ggpht.com/-iqDLinl_kmo/AAAAAAAAAAI/AAAAAAAAAAA/c3ydk3TifYY/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCkRpflgoq9XYz7L7V5bozVA,Brodha V,UUkRpflgoq9XYz7L7V5bozVA,https://yt3.ggpht.com/-p1csfrXiPxc/AAAAAAAAAAI/AAAAAAAAAAA/Rl7Q6uAm9Ag/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCHTOHkoIesovMlUUdfjXy6A,Penn Masala,UUHTOHkoIesovMlUUdfjXy6A,https://yt3.ggpht.com/-P7WOfL9Hh3Q/AAAAAAAAAAI/AAAAAAAAAAA/q2EB9UgcNQc/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCBzRNetz7eOSqcAdNXhPZPA,Pehchan Music,UUBzRNetz7eOSqcAdNXhPZPA,https://yt3.ggpht.com/-4Z_Eo3_WgHs/AAAAAAAAAAI/AAAAAAAAAAA/hMq8iFGIVkM/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCmP2KD0qhB-f-Uq7wyKYydw,Antareep Hazarika,UUmP2KD0qhB-f-Uq7wyKYydw,https://yt3.ggpht.com/-pVPXNXasrjE/AAAAAAAAAAI/AAAAAAAAAAA/MaZIsX4qWhc/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC1sJ7FK_Dz5t423QIq5jOPA,Samarth Swarup,UU1sJ7FK_Dz5t423QIq5jOPA,https://yt3.ggpht.com/-I5GakewUbVA/AAAAAAAAAAI/AAAAAAAAAAA/m1cF8Uy_SSo/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC6tKaP4AfhaX1HtVrWdl4Mg,Singh's Unplugged,UU6tKaP4AfhaX1HtVrWdl4Mg,https://yt3.ggpht.com/-6MpTtDI0Mc4/AAAAAAAAAAI/AAAAAAAAAAA/TmbclYVWF4Q/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCuO36lPQr0tMuD7FmpbWnMQ,Swheta Subram,UUuO36lPQr0tMuD7FmpbWnMQ,https://yt3.ggpht.com/-4BUWR3ozIsc/AAAAAAAAAAI/AAAAAAAAAAA/KkzRH536r1s/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCgKDxZqafO2ND2EvW0ud9-g,Chai Town,UUgKDxZqafO2ND2EvW0ud9-g,https://yt3.ggpht.com/-C5j8-E2Od-U/AAAAAAAAAAI/AAAAAAAAAAA/Ngq0NoREnnI/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCW5mWliFhcI4VeKmrjKtaig,Nescafe Basement,UUW5mWliFhcI4VeKmrjKtaig,https://yt3.ggpht.com/-Xn0xd8ixgTc/AAAAAAAAAAI/AAAAAAAAAAA/yVopwyDru7k/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCWiafQ2Ml-sG-lGIKDcHAjQ,Cornetto Pop Rock,UUWiafQ2Ml-sG-lGIKDcHAjQ,https://yt3.ggpht.com/-RQYY4z5Dq4E/AAAAAAAAAAI/AAAAAAAAAAA/wEtEeHjd0zs/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCsKtsU4CBnk7YJwm-ru0_2g,Kanika Malhotra,UUsKtsU4CBnk7YJwm-ru0_2g,https://yt3.ggpht.com/-0eySY6kwHOQ/AAAAAAAAAAI/AAAAAAAAAAA/l-C0BCLOA0Q/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCYFPVMDTv5iMFZB9LOSg_aw,Ramya Ramkumar,UUYFPVMDTv5iMFZB9LOSg_aw,https://yt3.ggpht.com/-GViIsRJK9J4/AAAAAAAAAAI/AAAAAAAAAAA/UMZn1QAuIKI/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCwW5GJbVdK3QjveZAtD1wzg,Sanah Moidutty,UUwW5GJbVdK3QjveZAtD1wzg,https://yt3.ggpht.com/-Jp1xe4aHcTs/AAAAAAAAAAI/AAAAAAAAAAA/5BaZfX6VRGY/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCI-QMRcPhx8eoijfAs3g7rw,Prateek Sahai,UUI-QMRcPhx8eoijfAs3g7rw,https://yt3.ggpht.com/-MdN50Zl3B4s/AAAAAAAAAAI/AAAAAAAAAAA/uuWvzPwFNtI/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCr9uVEayfm6XcMz9sgDd-AA,Ritu Agarwal,UUr9uVEayfm6XcMz9sgDd-AA,https://yt3.ggpht.com/-v7KrE2wMkTE/AAAAAAAAAAI/AAAAAAAAAAA/qhbCFHcetlk/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCKRt7XQEACepj0Cnbpyr9HA,Shubham Jadhav,UUKRt7XQEACepj0Cnbpyr9HA,https://yt3.ggpht.com/-PTUl6b8XLoU/AAAAAAAAAAI/AAAAAAAAAAA/g8tjff__xoo/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC6-WIn5oMHtho_Ir0Z5GQwQ,Arjun Kanungo,UU6-WIn5oMHtho_Ir0Z5GQwQ,https://yt3.ggpht.com/-Mhnyj5M1qxI/AAAAAAAAAAI/AAAAAAAAAAA/g8ABQzv1Lsg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCzAn-hBNSTjX-QMnHASZFfA,Darshan Raval,UUzAn-hBNSTjX-QMnHASZFfA,https://yt3.ggpht.com/-lixEZsDiLxo/AAAAAAAAAAI/AAAAAAAAAAA/yw_g7uShI-k/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCgGZFO6ueoD1rSeuUlNgpuA,Suprabha KV,UUgGZFO6ueoD1rSeuUlNgpuA,https://yt3.ggpht.com/-Z0pwbEaARhk/AAAAAAAAAAI/AAAAAAAAAAA/Q5bJ-zBxPR0/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCxSjgkpmduLh7fbzssE2vmw,Asa Singh,UUxSjgkpmduLh7fbzssE2vmw,https://yt3.ggpht.com/-mfUJgqC7VGE/AAAAAAAAAAI/AAAAAAAAAAA/HHRRpbkkZbs/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC44fNd5nx01dTvF_u522PhQ,Raj Barman,UU44fNd5nx01dTvF_u522PhQ,https://yt3.ggpht.com/-HIW5JwWkzA4/AAAAAAAAAAI/AAAAAAAAAAA/uZ0RVxNQpOY/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCZlG1__5USHGw5t5uuQMXng,Dhruvesh Patel,UUZlG1__5USHGw5t5uuQMXng,https://yt3.ggpht.com/-YpWBR3T4Pf0/AAAAAAAAAAI/AAAAAAAAAAA/PGqlnNRmlw8/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCVv7h9KKcQ5B6KFVHOhZl4Q,Bryden-Parth Music,UUVv7h9KKcQ5B6KFVHOhZl4Q,https://yt3.ggpht.com/-fPh3669hVlk/AAAAAAAAAAI/AAAAAAAAAAA/Vifj3tqISc0/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCorPmDp7LWBP_n8X3lyMNWg,Husnain Lahori,UUorPmDp7LWBP_n8X3lyMNWg,https://yt3.ggpht.com/-tyGBIwSMibc/AAAAAAAAAAI/AAAAAAAAAAA/nFMSyKUIEUQ/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCFVWHa07-3tFakZ4ScH8Chg,Sachet Tandon,UUFVWHa07-3tFakZ4ScH8Chg,https://yt3.ggpht.com/-pBmQM-5JlUw/AAAAAAAAAAI/AAAAAAAAAAA/B3dOUaZrttU/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCjUvzzaBlK82-Kpvy3uG9yA,Being Indian Music,UUjUvzzaBlK82-Kpvy3uG9yA,https://yt3.ggpht.com/-CV-gg_Lt48c/AAAAAAAAAAI/AAAAAAAAAAA/ucuITgufmk4/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCK_ungzYZjsoeuCvzv8RTog,Lisa Mishra,UUK_ungzYZjsoeuCvzv8RTog,https://yt3.ggpht.com/-S6S9827Fawc/AAAAAAAAAAI/AAAAAAAAAAA/TlKHJFOfu-c/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
